srg,cnf
com/mojang/minecraft/src/c_00001,com/mojang/minecraft/util/TickTimer
com/mojang/minecraft/src/c_00002,com/mojang/minecraft/MinecraftAppletCanvas
com/mojang/minecraft/src/c_00003,com/mojang/minecraft/Minecraft
com/mojang/minecraft/src/c_00004,com/mojang/minecraft/client/UserSession
com/mojang/minecraft/src/c_00005,com/mojang/minecraft/entity/player/Player
com/mojang/minecraft/src/c_00006,com/mojang/minecraft/util/HitResult
com/mojang/minecraft/src/c_00007,com/mojang/minecraft/entity/Entity
com/mojang/minecraft/src/c_00009,com/mojang/minecraft/world/WorldManager
com/mojang/minecraft/src/c_00010,com/mojang/minecraft/world/chunk/DirtyChunkComparator
com/mojang/minecraft/src/c_00011,com/mojang/minecraft/world/chunk/Chunk
com/mojang/minecraft/src/c_00012,com/mojang/minecraft/world/DistanceComparator
com/mojang/minecraft/src/c_00013,com/mojang/minecraft/client/render/WorldRenderer
com/mojang/minecraft/src/c_00014,com/mojang/minecraft/world/World
com/mojang/minecraft/src/c_00015,com/mojang/minecraft/client/render/TextureRenderer
com/mojang/minecraft/src/c_00016,com/mojang/minecraft/util/Tesselator
com/mojang/minecraft/src/c_00017,com/mojang/minecraft/util/Frustrum
com/mojang/minecraft/src/c_00018,com/mojang/minecraft/client/gui/screen/CreateWorldScreen
com/mojang/minecraft/src/c_00019,com/mojang/minecraft/client/gui/Button
com/mojang/minecraft/src/c_00020,com/mojang/minecraft/client/gui/screen/PauseMenu
com/mojang/minecraft/src/c_00021,com/mojang/minecraft/client/gui/screen/Screen
com/mojang/minecraft/src/c_00022,com/mojang/minecraft/client/gui/screen/LoadWorldScreen
com/mojang/minecraft/src/c_00023,com/mojang/minecraft/client/gui/screen/SaveWorldScreen
com/mojang/minecraft/src/c_00024,com/mojang/minecraft/client/render/FontRenderer
com/mojang/minecraft/src/c_00025,com/mojang/minecraft/client/render/entity/ParticleRenderer
com/mojang/minecraft/src/c_00026,com/mojang/minecraft/entity/particle/Particle
com/mojang/minecraft/src/c_00027,com/mojang/minecraft/entity/passive/Human
com/mojang/minecraft/src/c_00028,com/mojang/minecraft/client/model/ModelPart
com/mojang/minecraft/src/c_00029,com/mojang/minecraft/client/model/HumanModel
com/mojang/minecraft/src/c_00030,com/mojang/minecraft/util/math/Quad
com/mojang/minecraft/src/c_00031,com/mojang/minecraft/util/math/Vertex
com/mojang/minecraft/src/c_00032,com/mojang/minecraft/util/math/Vec3d
com/mojang/minecraft/src/c_00033,com/mojang/minecraft/util/math/AABB
com/mojang/minecraft/src/c_00034,com/mojang/minecraft/block/Block
com/mojang/minecraft/src/c_00035,com/mojang/minecraft/block/partial/plant/Sapling
com/mojang/minecraft/src/c_00036,com/mojang/minecraft/block/Dirt
com/mojang/minecraft/src/c_00037,com/mojang/minecraft/block/liquid/SourceLiquid
com/mojang/minecraft/src/c_00038,com/mojang/minecraft/block/liquid/Liquid
com/mojang/minecraft/src/c_00039,com/mojang/minecraft/block/GrassBlock
com/mojang/minecraft/src/c_00040,com/mojang/minecraft/world/gen/WorldGenerator
com/mojang/minecraft/src/c_00041,com/mojang/minecraft/world/gen/noise/DistortedNoiseGenerator
com/mojang/minecraft/src/c_00042,com/mojang/minecraft/world/gen/noise/OctaveNoiseGenerator
com/mojang/minecraft/src/c_00043,com/mojang/minecraft/world/gen/noise/NoiseGenerator
com/mojang/minecraft/src/c_00044,com/mojang/minecraft/world/gen/noise/PerlinNoiseGenerator
